Date Time,Open,High,Low,Close
Time: 21:00:00.000 Date: 2018-04-09,1.41279,1.41879,1.41203,1.4175
Time: 21:00:00.000 Date: 2018-04-10,1.41748,1.42232,1.41606,1.41789
Time: 21:00:00.000 Date: 2018-04-11,1.41737,1.42467,1.41452,1.4227
Time: 21:00:00.000 Date: 2018-04-12,1.42271,1.42964,1.42208,1.42379
Time: 21:00:00.000 Date: 2018-04-15,1.42401,1.43442,1.423,1.43382
Time: 21:00:00.000 Date: 2018-04-16,1.43367,1.43765,1.42825,1.42906
Time: 21:00:00.000 Date: 2018-04-17,1.42837,1.43144,1.41731,1.42043
Time: 21:00:00.000 Date: 2018-04-18,1.41997,1.42462,1.40689,1.4081
Time: 21:00:00.000 Date: 2018-04-19,1.40824,1.40909,1.40005,1.40005
Time: 21:00:00.000 Date: 2018-04-22,1.4,1.40311,1.39261,1.39389
Time: 21:00:00.000 Date: 2018-04-23,1.3939,1.39871,1.39181,1.3978
Time: 21:00:00.000 Date: 2018-04-24,1.39751,1.39968,1.39233,1.39306
Time: 21:00:00.000 Date: 2018-04-25,1.39249,1.39979,1.3895,1.39128
Time: 21:00:00.000 Date: 2018-04-26,1.39118,1.39344,1.37472,1.37748
Time: 21:00:00.000 Date: 2018-04-29,1.3771,1.37924,1.37126,1.37647
Time: 21:00:00.000 Date: 2018-04-30,1.37562,1.37726,1.35884,1.36139
Time: 21:00:00.000 Date: 2018-05-01,1.36122,1.36659,1.35549,1.35708
Time: 21:00:00.000 Date: 2018-05-02,1.35715,1.36296,1.35379,1.35757
Time: 21:00:00.000 Date: 2018-05-03,1.35737,1.3586,1.34863,1.35249
Time: 21:00:00.000 Date: 2018-05-06,1.35324,1.35755,1.35152,1.35571
Time: 21:00:00.000 Date: 2018-05-07,1.35549,1.35925,1.34846,1.35479
Time: 21:00:00.000 Date: 2018-05-08,1.35425,1.3607,1.34991,1.35447
Time: 21:00:00.000 Date: 2018-05-09,1.35438,1.36177,1.346,1.35165
Time: 21:00:00.000 Date: 2018-05-10,1.35148,1.35956,1.3502,1.35393
Time: 21:00:00.000 Date: 2018-05-13,1.35415,1.36083,1.35375,1.35553
